AF293896_Filamoeba_nolandi_ATCC50430	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;Filamoebidae;Filamoeba;Filamoeba+nolandi;Filamoeba;Filamoeba+nolandi
AB425950_Variosea_sp_Mb5C	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;Mb5C-lineage;Mb5C-lineage_X;Mb5C-lineage_X+sp.;Lobosea;Lobosea+sp.
AF280078_Phalansterium_solitarium_ATCC50327	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;Phalansteriidae;Phalansterium;Phalansterium+solitarium;Phalansterium;Phalansterium+solitarium
FJ544419_Ceratiomyxella_tahitiensis_HI0493l1	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;Schizoplasmodiids;Ceratiomyxella;Ceratiomyxella+tahitiensis;Ceratiomyxella;Ceratiomyxella+tahitiensis
AY268037_Multicilia_marina	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;Variosea_XX;Multicilia;Multicilia+marina;Multicilia;Multicilia+marina
EF023424_clone_Amb_18S_765_Variosea	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;Variosea_XX;Variosea_XXX;Variosea_XXX+sp.;Acanthamoeba;Acanthamoeba+environmental
AM114811_clone_WIM01_Variosea	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;WIM-1-lineage;WIM-1-lineage_X;WIM-1-lineage_X+sp.;Uncultured;Uncultured+eukaryote
AM114801_clone_WIM05_Variosea	Eukaryota;AMOEBOZOA;Conosa;Variosea;Variosea_X;WIM5-lineage;WIM5-lineage_X;WIM5-lineage_X+sp.;Uncultured;Uncultured+eukaryote
AY183893_Korotnevella_stella_CCAP15476	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Flabellinia;Dactylopodida;Paramoebidae;Korotnevella;Korotnevella+stella;Korotnevella;Korotnevella+stella
AY183894_Neoparamoeba_pemaquidens_CCAP15604	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Flabellinia;Dactylopodida;Paramoebidae;Neoparamoeba;Neoparamoeba+pemaquidensis;Neoparamoeba;Neoparamoeba+pemaquidensis
AY294149_Vexillifera_minutissima	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Flabellinia;Dactylopodida;Vexilliferidae;Vexillifera;Vexillifera+minutissima;Vexillifera;Vexillifera+minutissima
AY183886_Lingulamoeba_leei_ATCC30734	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Flabellinia;Vannellida;Vannellidae;Lingulamoeba;Lingulamoeba+leei;Lingulamoeba;Lingulamoeba+leei
AF099101_Vannella_anglica_CCAP15898	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Flabellinia;Vannellida;Vannellidae;Vannella;Vannella+anglica;Vannella;Vannella+anglica
AY294150_Vannella_placida	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Flabellinia;Vannellida;Vannellidae;Vannella;Vannella+placida;Platyamoeba;Platyamoeba+placida
AY294148_Dermamoeba_algensis	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Longamoebia;Dermamoebida;Dermamoebidae;Dermamoeba;Dermamoeba+algensis;Dermamoeba;Dermamoeba+algensis
AY294143_Mayorella_sp_JJP2003	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Longamoebia;Dermamoebida;Mayorellidae;Mayorella;Mayorella+sp.;Mayorella;Mayorella+sp.
AY919786_clone_LG30_03_Amoebozoa	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Longamoebia;Dermamoebida;;;;;
DQ122380_Sappinia_diploidea_CCAP15752	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Longamoebia;Thecamoebida;Thecamoebidae;Sappinia;Sappinia+diploidea;Sappinia;Sappinia+diploidea
AY294144_Stenamoeba_stenopodia	Eukaryota;AMOEBOZOA;Lobosa;Discosea-Longamoebia;Thecamoebida;Thecamoebidae;Stenamoeba;Stenamoeba+stenopodia;Platyamoeba;Platyamoeba+stenopodia
M13435_Acanthamoeba_castellanii	Eukaryota;AMOEBOZOA;Lobosa;Lobosa_X;Centramoebida;Acanthamoebidae;Acanthamoeba;Acanthamoeba+castellanii;Acanthamoeba;Acanthamoeba+castellanii
AY960120_Protacanthamoeba_bohemica	Eukaryota;AMOEBOZOA;Lobosa;Lobosa_X;Centramoebida;Acanthamoebidae;Protacanthamoeba;Protacanthamoeba+bohemica;Protacanthamoeba;Protacanthamoeba+bohemica
AF477019_Balamuthia_mandrillaris_V039	Eukaryota;AMOEBOZOA;Lobosa;Lobosa_X;Centramoebida;Balamuthiidae;Balamuthia;Balamuthia+mandrillaris;Balamuthia;Balamuthia+mandrillaris
DQ229956_Vermistella_antarctica_S241	Eukaryota;AMOEBOZOA;Lobosa;Lobosa_X;Stygamoebida;Vermistella-lineage;Vermistella;Vermistella+antarctica;Vermistella;Vermistella+antarctica
AY848964_Heleopera_sphagni	Eukaryota;AMOEBOZOA;Lobosa;Tubulinea;Arcellinida;Heleoperidae;Heleopera;Heleopera+sphagni;Heleopera;Heleopera+sphagni
AF293895_Echinamoeba_exundans_ATCC50171	Eukaryota;AMOEBOZOA;Lobosa;Tubulinea;Echinamoebida;Echinamoebidae;Echinamoeba;Echinamoeba+exundans;Echinamoeba;Echinamoeba+exundans
AJ489262_Echinamoeba_thermarum_OSB1	Eukaryota;AMOEBOZOA;Lobosa;Tubulinea;Echinamoebida;Echinamoebidae;Echinamoeba;Echinamoeba+thermarum;Echinamoeba;Echinamoeba+thermarum
